"date","unyo","bus_no"
"20260704","佐賀～福岡空港線①佐","2015"
"20260704","恒見 - 小倉線①恒","2688"
"20260704","屋形原線①那","2737"
"20260704","黒原 - 戸畑線①戸","2761"
"20260704","福岡・福岡空港～佐世保線①博","2976"
"20260704","小倉～北九州空港線⑧北T","1076"
"20260704","福岡・福岡空港～日田線①日","1126"
"20260704","小倉～北九州空港線①北","1187"
"20260704","門司 - 戸畑線②戸","1195"
"20260704","小倉 - 黒崎・折尾線②幡","1241"
"20260704","大橋～福翔線⑭那","1346"
"20260704","大橋～福翔線⑰那","1350"
"20260704","福岡～熊本線(22)高T","4948"
"20260704","香椎浜～博多駅線①ア","3133"
"20260704","那珂川フィーダー線①那","9030"
"20260704","久留米吉井線①吉","9057"
"20260704","黒崎・戸畑 - 砂津線①幡","9232"
"20260704","小倉 - 黒崎・折尾線①幡","9491"
"20260704","那珂川フィーダー線⑦那","9846"
"20260704","黒原 - 戸畑線①弥","9955"
"20260704","門司 - 戸畑線③門","5769"
"20260704","那珂川フィーダー線③那","7715"
"20260704","長住～天神線⑤桧","7824"
"20260704","早良（城南）博多駅①早","8116"
"20260704","山路・猪倉線①小","0351"
"20260704","福岡空港-久留米線⑤京T","2017"
"20260704","長住～天神線②桧","2033"
"20260704","脇山線④早","2034"
"20260704","宇美線①宇","2037"
"20260704","宇美線②宇","2038"
"20260704","宇美線③宇","2039"
"20260704","宇美線④宇","2040"
"20260704","春日～大橋線①那","2108"
"20260704","春日原線①那","2109"
"20260704","甘木幹線①杷","2130"
"20260704","春日原線②月","2132"
"20260704","春日原線①月","2133"
"20260704","小竹・天道線②飯","2355"
"20260704","志賀島線③ア","2408"
"20260704","直方 ・ 黒崎線①直","2422"
"20260704","久留米 - 鳥栖線①鳥","2430"
"20260704","天拝坂線①原T","2509"
"20260704","上官（大牟田）線①牟","2511"
"20260704","二日市線②原","2516"
"20260704","小嶺 - 戸畑・若松線①戸","2518"
"20260704","則松循環線①香","2519"
"20260704","志賀島線①ア","2603"
"20260704","恒見 - 小倉線⑥恒","2613"
"20260704","香椎線②ア","2664"
