"date","unyo","bus_no"
"20260729","大野城市循環バス線①月","22"
"20260729","福岡空港-久留米線①京","2018"
"20260729","早良（城南）博多駅①早","2035"
"20260729","宇美線③宇","2037"
"20260729","宇美線②宇","2038"
"20260729","春日原線②那","2108"
"20260729","春日～大橋線①那","2110"
"20260729","黒原 - 戸畑線②弥","2301"
"20260729","飯塚 - 大隈線①飯","2355"
"20260729","野間～天神線②柏","2419"
"20260729","大谷線・大谷（大蔵）線①戸","2518"
"20260729","大谷線・大谷（大蔵）線②戸","2523"
"20260729","香椎線①舞","2602"
"20260729","アイランドシティ～千早線①ア","2604"
"20260729","門司 - 戸畑線①門","2711"
"20260729","志井線②谷","2714"
"20260729","春日原線①那","2725"
"20260729","シーサイドももち線⑳愛","2728"
"20260729","黒原 - 戸畑線①戸","2764"
"20260729","渡辺通幹線②那","2775"
"20260729","門司 - 戸畑線③門","2832"
"20260729","門司駅～山田線②谷","2835"
"20260729","小嶺 - 戸畑・若松線②香","2857"
"20260729","恒見 - 小倉線⑲恒T","2861"
"20260729","飯塚市内線①飯","2868"
"20260729","三軒屋線①武","2882"
"20260729","門司駅～山田線①谷","2906"
"20260729","今町・若園線①谷","2979"
"20260729","小倉 - 黒崎・折尾線①幡","1050"
"20260729","志井線④谷","1052"
"20260729","志井線⑭谷","1074"
"20260729","昭代（城南）博多駅線①も","1087"
"20260729","香椎線①ア","1132"
"20260729","長野 - 小倉線①弥","1189"
"20260729","馬場山～大平線①香","1192"
"20260729","恒見 - 小倉線⑦恒","1196"
"20260729","黒原 - 戸畑線①小","1237"
"20260729","門司港ローカル線①門","1239"
"20260729","渡辺通幹線①那","1255"
"20260729","渡辺通幹線⑨那","1256"
"20260729","西新（城南）九大線①愛","1261"
"20260729","門司 - 戸畑線①戸","1276"
"20260729","大橋～福翔線②那","1297"
"20260729","西新（城南）九大線②も","1340"
"20260729","那珂川フィーダー線③那","1347"
"20260729","小倉（中原）戸畑線①弥","1356"
"20260729","宇美線④宇","1803"
"20260729","小倉～北九州空港線①北","1912"
"20260729","那珂川フィーダー線②那","1914"
"20260729","志賀島島内線①ア","1923"
"20260729","香椎線②ア","3656"
"20260729","野間快速線⑧桧","3661"
"20260729","片江（長住）博多駅線①片","3662"
"20260729","筑豊（特急）福岡線①高","4859"
"20260729","野間快速線①柏","4867"
"20260729","小笹・小笹団地線①柏","4870"
"20260729","小笹・小笹団地線⑭柏","4871"
"20260729","福岡～小倉線②博","4907"
"20260729","福岡～小倉線①博","3017"
"20260729","野間快速線①桧","3057"
"20260729","香椎浜～博多駅線②ア","3064"
"20260729","福岡・福岡空港～日田線①日","3244"
"20260729","香椎浜～博多駅線①ア","3275"
"20260729","福岡・福岡空港～佐世保線②博T","3279"
"20260729","小倉～北九州空港線⑧北T","3286"
"20260729","福岡～小倉線②北","3434"
"20260729","野方（都市高速）博多線③壱","5847"
"20260729","竹下～長浜線①も","5898"
"20260729","片江（城南）博多駅線①片","9008"
"20260729","志井線①谷","9016"
"20260729","小嶺 - 戸畑・若松線①香","9022"
"20260729","久留米吉井線①吉","9053"
"20260729","久留米 - 大牟田線①京","9219"
"20260729","小倉 - 黒崎・折尾線④幡","9221"
"20260729","小倉 - 黒崎・折尾線④小T","9226"
"20260729","西団地 - 萩原線①幡","9229"
"20260729","福島線①八","9269"
"20260729","屋形原線①那","9311"
"20260729","小倉 - 黒崎・折尾線②幡","9351"
"20260729","脇山線①早","9450"
"20260729","小倉 - 黒崎線④小T","9451"
"20260729","森林都市線②赤","9468"
"20260729","脇山線(38)早T","9510"
"20260729","香椎浜～博多駅線⑪アT","9521"
"20260729","野方（都市高速）博多線①壱","9523"
"20260729","諸岡線①竹","9640"
"20260729","野間～天神線①桧","9644"
"20260729","屋形原線⑤那","9682"
"20260729","福重（都市高速）線①壱","9813"
"20260729","那珂川フィーダー線⑫那","9846"
"20260729","つつじヶ丘線①月","9873"
"20260729","小倉（中原）戸畑線③小T","9894"
"20260729","馬場山～大平線⑨香","9898"
"20260729","筑豊（特急）福岡線①飯","9913"
"20260729","黒崎・戸畑 - 砂津線①小","9939"
"20260729","小倉 - 黒崎・折尾線⑤小T","5901"
"20260729","黒原 - 戸畑線①弥","5905"
"20260729","鞘ヶ谷 - 大谷池線①小","5906"
"20260729","黒原 - 戸畑線⑧弥T","5915"
"20260729","野方（都市高速）博多線(40)壱","5941"
"20260729","諸岡線②竹","5977"
"20260729","筑豊（特急）福岡線①田","5981"
"20260729","赤間（急行）福岡線②赤","6115"
"20260729","シーサイドももち線②愛","6121"
"20260729","門司 - 戸畑線②門","5769"
"20260729","小倉（中原）戸畑線①戸","5775"
"20260729","小倉 - 黒崎線②幡","5777"
"20260729","屋形原線③那","8541"
"20260729","那珂川フィーダー線①那","7715"
"20260729","シーサイドももち線①愛","7729"
"20260729","南福岡線①宇","7734"
"20260729","門司 - 戸畑線④門","7741"
"20260729","長住～天神線①桧","7840"
"20260729","赤間（急行）福岡線①赤","7906"
"20260729","シーサイドももち線③愛","7917"
"20260729","大橋～福翔線①那","8109"
"20260729","長住～博多駅線①桧","8210"
"20260729","佐賀～福岡線①佐","8220"
"20260729","片江（城南）博多駅線②片","8224"
"20260729","福岡空港-久留米線②京","8436"
"20260729","恒見フィーダー線①恒","8750"
"20260729","大野城市循環バス線③月","21"
"20260729","大野城市循環バス線②月","26"
"20260729","福岡BRT線①愛","0101"
"20260729","福岡BRT線②那","0104"
"20260729","☆小倉 - 黒崎・折尾線①小","0202"
"20260729","☆小倉 - 黒崎・折尾線③小","0209"
"20260729","☆恒見 - 小倉線①恒","0219"
"20260729","久留米 - 大牟田線②京","2003"
"20260729","行橋～福岡線①行","2013"
"20260729","佐賀～福岡空港線①佐","2015"
"20260729","福岡～小倉線①北","2019"
"20260729","早良（城南）博多駅⑦早","2036"
"20260729","金武（城南）博多駅線②武","2101"
"20260729","南福岡線⑤宇T","2103"
"20260729","南福岡線④宇T","2107"
"20260729","春日原線③那","2109"
"20260729","直方～鞍手～遠賀線①直","2113"
"20260729","河内線①鳥","2116"
"20260729","星ヶ丘線②原","2117"
"20260729","甘木幹線⑤杷T","2130"
"20260729","甘木幹線①杷","2131"
"20260729","春日原線③月","2132"
"20260729","沖新線①川","2264"
"20260729","星ヶ丘線①原","2267"
"20260729","飯塚市内線③飯","2272"
"20260729","直方～鞍手～遠賀線②直","2273"
"20260729","綾部線①鳥","2274"
"20260729","米の山・黒崎団地線②牟","2275"
"20260729","吉野線④牟","2276"
"20260729","吉野線③牟","2277"
"20260729","鳥栖 - 神埼線①鳥","2350"
"20260729","頓野線③直","2357"
"20260729","甘木幹線③甘","2402"
"20260729","春日原線①月","2403"
"20260729","大橋～福翔線(37)那T","2405"
"20260729","野間（城南）博多駅線①桧","2406"
"20260729","香椎線③ア","2408"
"20260729","片江（長住）博多駅線③片","2410"
"20260729","香椎浜～天神線①ア","2411"
"20260729","竹下～長浜線②も","2413"
"20260729","野間～天神線⑦柏","2414"
"20260729","多々良・八田線⑨土","2415"
"20260729","みどりヶ丘線⑪土","2416"
"20260729","西新（城南）九大線⑥も","2420"
"20260729","桧原（小笹）博多駅線⑧桧T","2421"
"20260729","直方 ・ 黒崎線③直T","2422"
"20260729","西牟田線①京","2428"
"20260729","久留米 - 鳥栖線①鳥","2430"
"20260729","大善寺線①川","2432"
"20260729","若宮線①川","2433"
"20260729","頓野線①直","2434"
"20260729","筑豊（特急）福岡線⑧田","2505"
"20260729","二日市線④原","2509"
"20260729","二日市線①原","2510"
"20260729","上官（大牟田）線①牟","2511"
"20260729","草野線①吉","2512"
"20260729","二日市線⑤原","2515"
"20260729","久留米 - 鳥栖線②鳥","2517"
"20260729","鳴水（八幡駅）線①幡","2521"
"20260729","大谷線・大谷（大蔵）線⑤戸","2524"
"20260729","みどりヶ丘線⑦土","2534"
"20260729","板付団地線⑤竹","2605"
"20260729","南福岡線②宇","2609"
"20260729","小倉 (井堀) 戸畑線④小","2611"
"20260729","恒見 - 小倉線(22)恒T","2613"
"20260729","小倉（中原）戸畑線⑤戸","2615"
"20260729","赤間（急行）福岡線⑪赤T","2661"
"20260729","桧原（小笹）博多駅線①も","2662"
"20260729","野間～天神線④柏","2663"
"20260729","香椎浜～博多駅線④ア","2664"
"20260729","赤間（普通）線②高","2665"
"20260729","大橋～福翔線⑭那","2666"
"20260729","甘木（都市高速）博多駅線⑮甘T","2667"
"20260729","大橋～福翔線⑨那","2668"
"20260729","香椎線④舞","2672"
"20260729","竹下～長浜線②竹","2676"
"20260729","姪浜フィーダー線⑤壱","2677"
"20260729","野方（都市高速）博多線⑥壱","2679"
"20260729","那珂川フィーダー線④那","2681"
