"date","unyo","bus_no"
"20260402","小倉～北九州空港線①北","1188"
"20260402","福岡～熊本線④高T","3045"
"20260402","福岡～宮崎線②高T","3135"
"20260402","屋形原線①那","9311"
"20260402","大野城市循環バス線①月","26"
"20260402","甘木幹線⑤杷T","2010"
"20260402","香椎線①舞","2673"
"20260402","春日原線①那","2725"
"20260402","大谷線・大谷（大蔵）線②戸","2751"
"20260402","福岡～熊本線⑥高T","2768"
"20260402","飯塚 - 大隈線①飯","2805"
"20260402","小嶺 - 戸畑・若松線②香","2857"
"20260402","上山田線①飯","2868"
"20260402","西団地 - 萩原線①幡","2914"
"20260402","屋形原線⑥那","2933"
"20260402","則松循環線①香","2970"
"20260402","福岡～熊本線⑧高T","2975"
"20260402","昭代（城南）博多駅線②愛T","1030"
"20260402","志井線⑭谷","1074"
"20260402","志井線⑤谷","1163"
"20260402","馬場山～大平線①香","1192"
"20260402","馬場山～大平線⑧香","1194"
"20260402","門司港ローカル線①門","1238"
"20260402","油山線①片","1267"
"20260402","福岡空港-久留米線①京","1331"
"20260402","大橋～福翔線⑩那","1808"
"20260402","志賀島島内線①ア","1924"
"20260402","野間快速線⑧桧","4609"
"20260402","赤間（普通）線①高","3657"
"20260402","福岡～小倉①北","4726"
"20260402","小笹・小笹団地線⑭柏","4871"
"20260402","福岡～小倉③博","4908"
"20260402","早良（城南）博多駅①早","4915"
"20260402","福岡～小倉②博","3018"
"20260402","赤間（急行）福岡線①赤","3051"
"20260402","小笹・小笹団地線⑯柏","3059"
"20260402","福岡～小倉①博","3153"
"20260402","福岡・福岡空港～佐世保線④博T","3285"
"20260402","西新（城南）九大線①愛","5836"
"20260402","久留米吉井線①吉","5861"
"20260402","アイランドシティ～千早線①ア","5897"
"20260402","片江（城南）博多駅線①片","9008"
"20260402","小倉（中原）戸畑線①弥","9014"
"20260402","志井線①谷","9016"
"20260402","小嶺 - 戸畑・若松線①香","9022"
"20260402","那珂川フィーダー線⑦那","9031"
"20260402","屋形原線③那","9054"
"20260402","野間（城南）博多駅線①桧","9076"
"20260402","赤間（普通）線②赤","9121"
"20260402","板付団地線①竹","9138"
"20260402","四王寺坂線①宇","9206"
"20260402","春日～大橋線①那","9263"
"20260402","久留米 - 大牟田線①京","9314"
"20260402","甘木幹線②甘","9330"
"20260402","西町線①御","9341"
"20260402","博多駅～西新線①博","9435"
"20260402","香椎線②ア","9437"
"20260402","小倉 - 黒崎・折尾線③幡","9492"
"20260402","香椎線③ア","9521"
"20260402","諸岡線②竹","9617"
"20260402","坂瀬線①宇","9808"
"20260402","春日原線②月","9852"
"20260402","みどりヶ丘線①土","9865"
"20260402","黒崎・戸畑 - 砂津線①小","9939"
"20260402","黒原 - 戸畑線①弥","5905"
"20260402","鞘ヶ谷 - 大谷池線②小","5906"
"20260402","鞘ヶ谷 - 大谷池線①小","5907"
"20260402","小倉 - 黒崎・折尾線⑥幡","5908"
"20260402","赤間（普通）線①赤","5995"
"20260402","金武線①武","6159"
"20260402","甘木幹線①杷","6202"
"20260402","野方（都市高速）博多線(28)壱T","6208"
"20260402","黒原 - 戸畑線②小","6213"
"20260402","黒原 - 戸畑線①小","6219"
"20260402","茶山線①片","6236"
"20260402","那珂川フィーダー線③那","5689"
"20260402","小倉（中原）戸畑線①戸","5775"
"20260402","綾部線①鳥","8004"
"20260402","国分線①御","8534"
"20260402","脇山線①早","7703"
"20260402","那珂川フィーダー線①那","7715"
"20260402","脇山線(37)早T","7804"
"20260402","油山線②片","8108"
"20260402","野方（都市高速）博多線②壱","8215"
"20260402","タワー（天神）貝塚線①吉","8302"
"20260402","佐賀～福岡線①佐","8314"
"20260402","福岡空港-久留米線②京","8436"
"20260402","大野城市循環バス線⑤月","22"
"20260402","大野城市循環バス線③月","23"
"20260402","久留米 - 大牟田線②京","2003"
"20260402","南福岡線⑤宇T","2103"
"20260402","春日原線②那","2108"
"20260402","春日原線③那","2109"
"20260402","那珂川フィーダー線⑥那","2110"
"20260402","綾部線②鳥","2114"
"20260402","飯塚市内線③飯","2355"
"20260402","屋形原線⑩那","2401"
"20260402","甘木幹線③甘","2402"
"20260402","春日原線①月","2403"
"20260402","竹下～長浜線①も","2412"
"20260402","直方 ・ 黒崎線③直T","2422"
"20260402","久留米 - 鳥栖線①鳥","2430"
"20260402","天拝坂線①原T","2431"
"20260402","昭代（城南）博多駅線①も","2503"
"20260402","二日市線①原","2509"
"20260402","上官（大牟田）線①牟","2511"
"20260402","草野線①吉","2512"
"20260402","鳴水線②幡","2521"
"20260402","小嶺 - 戸畑・若松線②戸","2523"
"20260402","小嶺 - 戸畑・若松線①戸","2524"
"20260402","新八田線⑧土","2533"
"20260402","みどりヶ丘線⑦土","2534"
"20260402","みどりヶ丘線⑰土","2536"
"20260402","小倉 (井堀) 戸畑線①小","2611"
"20260402","小倉 - 黒崎線⑤小T","2612"
"20260402","小倉（中原）戸畑線⑤戸","2615"
"20260402","野間～天神線④柏","2663"
"20260402","香椎線②舞","2672"
"20260402","板付線①竹","2675"
"20260402","竹下～長浜線②竹","2676"
"20260402","野方（都市高速）博多線⑥壱","2679"
"20260402","飯塚市内線①飯","2698"
"20260402","飯塚 - 大隈線①小","2710"
"20260402","門司駅～山田線⑤谷","2714"
"20260402","蒲生線①谷","2719"
"20260402","蒲生線②谷","2720"
"20260402","屋形原線④那","2736"
"20260402","那珂川フィーダー線⑳那T","2739"
"20260402","大谷線・大谷（大蔵）線④戸","2750"
"20260402","小嶺 - 戸畑・若松線⑥香","2753"
"20260402","門司 - 戸畑線⑥門","2757"
"20260402","門司 - 戸畑線⑬門","2758"
"20260402","黒原 - 戸畑線②戸","2761"
"20260402","西新（城南）九大線⑤も","2770"
"20260402","渡辺通幹線①も","2771"
"20260402","屋形原線(37)那T","2777"
"20260402","渡辺通幹線②那","2779"
"20260402","渡辺通幹線③那","2788"
"20260402","長住～博多駅線②桧","2794"
"20260402","大牟田市内線③牟T","2798"
"20260402","脇山支線①早","2807"
"20260402","門司 - 戸畑線③門","2832"
"20260402","門司駅～山田線②谷","2835"
"20260402","門司駅～山田線③谷","2836"
"20260402","則松循環線②香","2837"
"20260402","大里線⑤恒T","2844"
"20260402","大谷線・大谷（大蔵）線⑤戸","2845"
"20260402","西団地 - 萩原線②幡","2851"
"20260402","小嶺 - 戸畑・若松線⑤香","2854"
"20260402","馬場山～大平線②香","2855"
"20260402","門司駅～山田線①恒","2860"
"20260402","古賀市内線①舞","2871"
"20260402","恒見 - 小倉線⑥恒","2910"
"20260402","板付線②竹","2920"
"20260402","板付線③竹","2922"
"20260402","大橋～福翔線⑦那","2929"
"20260402","野方（都市高速）博多線⑫壱","2934"
"20260402","那珂川フィーダー線②那","2963"
"20260402","門司港ローカル線②門","2967"
"20260402","大里線①恒","2971"
"20260402","大里線②恒","2972"
"20260402","今町・若園線①谷","2979"
"20260402","佐賀～福岡空港線①佐","1006"
"20260402","油山線⑥片","1021"
"20260402","油山（快速）博多駅線①片","1024"
"20260402","脇山線⑫早","1026"
"20260402","宇美線⑰宇","1040"
"20260402","宇美線①宇","1043"
"20260402","長住～博多駅線⑤桧","1046"
"20260402","門司駅～山田線③恒T","1048"
"20260402","志井線④谷","1052"
"20260402","門司 - 戸畑線②戸","1055"
"20260402","門司 - 戸畑線④戸","1071"
"20260402","博多駅～西新線①吉","1093"
"20260402","油山（快速）博多駅線③片","1096"
"20260402","小倉（中原）戸畑線④戸","1104"
"20260402","折尾 - 小嶺線①香","1107"
"20260402","香椎浜～博多駅線③ア","1138"
"20260402","門司 - 戸畑線③戸","1157"
"20260402","小倉 - 黒崎線①幡","1161"
"20260402","福岡～熊本線⑮高T","1168"
"20260402","長野 - 小倉線①弥","1189"
"20260402","門司 - 戸畑線⑤戸","1195"
"20260402","小倉 - 黒崎・折尾線④小","1237"
"20260402","長野 - 小倉線③弥","1243"
"20260402","今町・若園線②谷","1245"
"20260402","渡辺通幹線⑪那T","1254"
"20260402","渡辺通幹線①那","1255"
"20260402","タワー（天神）貝塚線①も","1266"
"20260402","門司 - 戸畑線①戸","1276"
"20260402","小倉 (井堀) 戸畑線⑤小T","1277"
"20260402","志賀島線⑤ア","1293"
"20260402","アイランドシティ～千早線②ア","1294"
"20260402","大橋～福翔線②那","1297"
"20260402","小倉 - 黒崎線②小","1305"
"20260402","門司港ローカル線⑤門T","1307"
"20260402","恒見 - 小倉線②恒","1308"
"20260402","福岡空港-久留米線⑤京T","1332"
"20260402","福岡～宮崎線④高T","1337"
"20260402","福岡～鹿児島線①高T","1338"
"20260402","大橋～福翔線③那","1345"
"20260402","小倉 - 黒崎線①小","1352"
"20260402","野方（都市高速）博多線④壱","1446"
"20260402","竹下～長浜線③も","1454"
"20260402","甘木（都市高速）博多駅線③甘","1462"
"20260402","板付団地線②竹","1810"
"20260402","シーサイドももち線⑦愛","1816"
"20260402","貫 (都市高速) 小倉線③弥","1826"
"20260402","福岡～宮崎線③高T","1903"
"20260402","草野線②吉","1910"
"20260402","脇山線⑬早","1917"
"20260402","長住～天神線①桧","1919"
"20260402","脇山線①博","1921"
"20260402","福大線④片","4608"
"20260402","恒見(都市高速)小倉線①恒","4613"
"20260402","新八田線⑬土T","3633"
"20260402","三軒屋線③武","3653"
"20260402","野間快速線③桧","3660"
"20260402","小倉 - 黒崎・折尾線①香","3666"
"20260402","馬場山～大平線③香","3667"
"20260402","筑豊（特急）福岡線①田","4705"
"20260402","三軒屋線②武","4832"
"20260402","金武線⑤吉T","4841"
"20260402","筑豊（特急）福岡線①高","4859"
"20260402","筑豊（特急）福岡線②高","4860"
"20260402","福岡～小倉⑧博T","4905"
"20260402","宇美線⑨宇","4921"
"20260402","宇美線⑧宇","4922"
"20260402","片江（長住）博多駅線①片","4940"
"20260402","片江（長住）博多駅線②片","4941"
"20260402","福岡～熊本線⑨高T","4947"
"20260402","福岡～小倉⑧博T","3017"
"20260402","福岡～小倉④北","3019"
"20260402","貫 (都市高速) 小倉線②弥","3025"
"20260402","小笹・小笹団地線①桧","3037"
"20260402","筑豊（特急）福岡線①飯","3047"
"20260402","福岡～小倉⑧北","3048"
"20260402","野間～天神線①柏","3058"
"20260402","早良（城南）博多駅⑦早","3062"
"20260402","竹下～長浜線①竹","3122"
"20260402","福岡～小倉⑦博T","3201"
"20260402","早良（城南）博多駅⑥早","3209"
"20260402","志賀島線②ア","3217"
"20260402","タワー（天神）貝塚線②吉","3221"
"20260402","桧原（城南）博多駅線③桧","3225"
"20260402","福岡・福岡空港～佐世保線②博T","3280"
"20260402","野間～天神線⑤柏","3292"
"20260402","早良（城南）博多駅⑧早","3296"
"20260402","福岡～小倉(21)北T","3331"
"20260402","福岡～熊本線⑫高T","3346"
"20260402","桧原（城南）博多駅線⑥桧","3424"
"20260402","野間快速線②桧","3425"
"20260402","野間～天神線⑥柏","3427"
"20260402","福岡～小倉⑱北T","3435"
"20260402","福岡～小倉⑤北","3437"
"20260402","金武線①吉","3702"
"20260402","志賀島線①ア","3704"
"20260402","諸岡線⑤竹","5824"
"20260402","小倉（中原）戸畑線②戸","5829"
"20260402","西新（城南）九大線②愛","5834"
"20260402","大川線①土","5839"
"20260402","篠栗線（篠）②土","5843"
"20260402","四王寺坂線③宇","5855"
"20260402","脇山線④早","5856"
"20260402","久留米吉井線④吉","5859"
"20260402","森林都市線①赤","5879"
"20260402","久留米吉井線⑨吉","5884"
"20260402","門司駅～山田線①谷","9011"
"20260402","志井線②谷","9017"
"20260402","志井線③谷","9018"
"20260402","志井線⑥谷","9024"
"20260402","門司 - 戸畑線⑤門","9025"
"20260402","久留米吉井線⑥吉","9053"
"20260402","福島線⑤八","9056"
"20260402","南ヶ丘線②月","9059"
"20260402","南ヶ丘線①月","9061"
"20260402","甘木幹線⑤甘","9063"
"20260402","甘木幹線④甘","9064"
"20260402","福大線①片","9079"
"20260402","小嶺 - 戸畑・若松線④香","9089"
"20260402","諸岡線⑧竹","9122"
"20260402","那珂川フィーダー線⑫那","9126"
"20260402","久留米 - 大牟田線③京","9146"
"20260402","空港循環線②宇","9210"
"20260402","飯塚市内線⑨飯T","9217"
"20260402","小倉 - 黒崎・折尾線④幡","9221"
"20260402","小倉 - 黒崎線②幡","9231"
"20260402","小倉 - 黒崎線④幡","9233"
"20260402","脇山線⑤早","9266"
"20260402","西町線②御","9270"
"20260402","神埼線①佐","9276"
"20260402","福島線④八","9283"
"20260402","佐賀 - 柳川線①川","9285"
"20260402","南ヶ丘線③月","9295"
"20260402","博多駅～西新線①愛","9309"
"20260402","福大線③片","9310"
"20260402","久留米吉井線⑤吉","9319"
"20260402","福島線⑦八","9331"
"20260402","久留米吉井線⑦吉","9344"
"20260402","福島線⑥八","9346"
"20260402","小倉 - 黒崎・折尾線②幡","9351"
"20260402","小倉 - 黒崎・折尾線⑧小T","9353"
"20260402","神埼線①御","9369"
"20260402","春日～大橋線③那","9374"
"20260402","小倉 - 黒崎・折尾線⑦幡","9413"
"20260402","金武線①壱","9425"
"20260402","みどりヶ丘線③土","9427"
"20260402","筑豊（特急）福岡線⑫田T","9441"
"20260402","小倉 - 黒崎線⑥幡","9454"
"20260402","早良（城南）博多駅③早","9456"
"20260402","那珂川フィーダー線⑤那","9463"
"20260402","諸岡線⑩竹","9476"
"20260402","志井線⑦谷","9477"
"20260402","シーサイドももち線(29)愛T","9483"
"20260402","小倉 - 黒崎・折尾線⑩小T","9490"
"20260402","茶山線②片","9496"
"20260402","須恵線②宇","9505"
"20260402","門司駅～山田線⑥谷","9601"
"20260402","門司 - 戸畑線⑥戸","9603"
"20260402","西新（城南）九大線②吉","9612"
"20260402","昭代（城南）博多駅線②吉","9614"
"20260402","西新（城南）九大線②も","9615"
"20260402","シーサイドももち線③愛","9658"
"20260402","諸岡線④竹","9670"
"20260402","屋形原線⑳那","9680"
"20260402","屋形原線⑦那","9803"
"20260402","西新（城南）九大線④吉","9830"
"20260402","春日～大橋線②那","9841"
"20260402","早良（城南）博多駅④早","9848"
"20260402","桧原（城南）博多駅線②桧","9854"
"20260402","坂瀬線④宇","9856"
"20260402","みどりヶ丘線(24)土T","9866"
"20260402","みどりヶ丘線⑤土","9867"
"20260402","森林都市線③赤","9877"
"20260402","坂瀬線⑤宇","9889"
"20260402","恒見 - 小倉線③恒","9901"
"20260402","恒見 - 小倉線④恒","9903"
"20260402","赤間（急行）福岡線④赤","9925"
"20260402","小倉 - 黒崎線③幡","9943"
"20260402","小倉 - 黒崎・折尾線⑯幡T","9944"
"20260402","門司 - 戸畑線①恒","9958"
"20260402","西団地 - 萩原線③幡","5909"
"20260402","春日原線⑥那T","5944"
"20260402","国分線③御","5956"
"20260402","黒原 - 戸畑線⑤弥","5961"
"20260402","多々良・八田線⑫土","5971"
"20260402","香椎浜～博多駅線⑩アT","5973"
"20260402","鞘ヶ谷 - 大谷池線⑤小","6004"
"20260402","黒原 - 戸畑線③戸","6007"
"20260402","筑豊（特急）福岡線⑤田","6106"
"20260402","筑豊（特急）福岡線⑥田","6107"
"20260402","新八田線③土","6127"
"20260402","黒崎・戸畑 - 砂津線⑥小T","6150"
"20260402","鞘ヶ谷 - 大谷池線⑧小T","6153"
"20260402","シーサイドももち線⑤愛","6171"
"20260402","屋形原線⑱那","6184"
"20260402","西町線③御","6189"
"20260402","小倉 - 黒崎・折尾線②香","6217"
"20260402","小倉（中原）戸畑線①小","6218"
"20260402","佐賀 - 柳川線②川","6240"
"20260402","朽網～北九州空港線①弥","8009"
"20260402","二日市線②原","8410"
"20260402","長野 - 小倉線⑤弥T","8524"
"20260402","長野 - 小倉線②弥","8525"
"20260402","野間～天神線②柏","8543"
"20260402","福岡～熊本線③高T","7610"
"20260402","福岡～熊本線⑩高T","7625"
"20260402","桧原（城南）博多駅線①桧","7713"
"20260402","野間（城南）博多駅線⑦桧T","7714"
"20260402","油山線①桧","7736"
"20260402","門司 - 戸畑線(28)門T","7743"
"20260402","赤間（急行）福岡線⑭赤T","7829"
"20260402","姪浜フィーダー線⑤壱","8031"
"20260402","大橋～福翔線①那","8109"
"20260402","油山線③片","8112"
"20260402","那珂川フィーダー線④那","8134"
"20260402","野方（都市高速）博多線⑩壱","8213"
"20260402","福岡～小倉⑰北T","8219"
"20260402","野間～天神線⑭桧","8226"
"20260402","昭代（城南）博多駅線①吉","8303"
"20260402","片江（城南）博多駅線③片","8423"
"20260402","奥田線①恒","8654"
"20260402","恒見フィーダー線①恒","8750"
"20260402","山路・猪倉線①小","0351"
"20260402","大野城市循環バス線②月","027"
"20260402","福岡BRT線①愛","0101"
"20260402","福岡BRT線①那","0105"
"20260402","小倉 - 黒崎・折尾線③小","0202"
"20260402","福岡BRT線①ア","0207"
"20260402","小倉 - 黒崎・折尾線⑭幡","0211"
"20260402","久留米 - 大牟田線⑤京","2002"
"20260402","南福岡線④宇T","2107"
"20260402","甘木幹線②杷","2131"
"20260402","春日原線⑤月","2133"
"20260402","江見線②佐T","2263"
"20260402","沖新線②川","2269"
"20260402","鳥栖 - 神埼線②鳥","2350"
"20260402","長住～博多駅線⑦桧","2407"
"20260402","竹下～長浜線②も","2413"
"20260402","みどりヶ丘線⑲土","2417"
"20260402","竹下～長浜線⑨竹T","2419"
"20260402","西新（城南）九大線⑥も","2420"
"20260402","大善寺線①川","2432"
"20260402","筑豊（特急）福岡線⑭田T","2505"
"20260402","大谷線・大谷（大蔵）線⑥戸","2520"
