"date","unyo","bus_no"
"20260330","飯塚 - 大隈線①飯","2426"
"20260330","香椎線①舞","2602"
"20260330","門司 - 戸畑線①門","2711"
"20260330","門司 - 戸畑線③門","2832"
"20260330","門司駅～山田線③恒T","2861"
"20260330","福岡・福岡空港～佐世保線②博T","2885"
"20260330","門司駅～山田線①谷","2906"
"20260330","大里線①恒","2971"
"20260330","佐賀～福岡空港線①佐","1005"
"20260330","小倉 - 黒崎・折尾線①幡","1050"
"20260330","門司 - 戸畑線③戸","1157"
"20260330","小倉 - 黒崎線①幡","1161"
"20260330","福岡～熊本線⑨高T","1168"
"20260330","門司港ローカル線①門","1239"
"20260330","渡辺通幹線⑪那T","1254"
"20260330","渡辺通幹線⑧那","1256"
"20260330","門司 - 戸畑線①戸","1276"
"20260330","福岡空港-久留米線①京","1331"
"20260330","貫 (都市高速) 小倉線①弥","1354"
"20260330","香椎浜～博多駅線②ア","3132"
"20260330","福岡～小倉①北","3437"
"20260330","志井線②谷","9017"
"20260330","四王寺坂線①宇","9206"
"20260330","小倉 - 黒崎・折尾線⑦小T","9226"
"20260330","黒崎・戸畑 - 砂津線①幡","9232"
"20260330","小倉 - 黒崎・折尾線②幡","9351"
"20260330","小倉 - 黒崎・折尾線③幡","9492"
"20260330","諸岡線①竹","9844"
"20260330","小倉（中原）戸畑線③小T","9894"
"20260330","鞘ヶ谷 - 大谷池線②小","5906"
"20260330","野方（都市高速）博多線①壱","5941"
"20260330","諸岡線②竹","5977"
"20260330","福岡～熊本線③高T","7610"
"20260330","那珂川フィーダー線①那","7715"
"20260330","脇山線(37)早T","7804"
"20260330","大橋～福翔線④那","8111"
"20260330","那珂川フィーダー線④那","8134"
