"date","unyo","bus_no"
"20260415","大橋～福翔線④那","2109"
"20260415","小嶺 - 戸畑・若松線①戸","2524"
"20260415","香椎線①舞","2602"
"20260415","門司 - 戸畑線①門","2711"
"20260415","春日原線①那","2725"
"20260415","シーサイドももち線①愛","2731"
"20260415","門司駅～山田線①谷","2906"
"20260415","佐賀～福岡空港線①佐","1008"
"20260415","小倉 - 黒崎・折尾線①幡","1050"
"20260415","小倉 - 黒崎線①幡","1161"
"20260415","飯塚 - 大隈線⑤小","1165"
"20260415","門司港ローカル線①門","1239"
"20260415","渡辺通幹線⑪那T","1254"
"20260415","門司駅～山田線③恒T","1279"
"20260415","福岡～鹿児島線①高T","1336"
"20260415","福岡～宮崎線②高T","1905"
"20260415","小倉～北九州空港線①北","1912"
"20260415","福岡・福岡空港～佐世保線②博T","3285"
"20260415","三軒屋線①武","3423"
"20260415","小笹～天神線①片","5857"
"20260415","片江（城南）博多駅線①片","9008"
"20260415","志井線①谷","9016"
"20260415","久留米吉井線①吉","9053"
"20260415","国分線②御","9070"
"20260415","小笹・小笹団地線②柏","9201"
"20260415","四王寺坂線①宇","9206"
"20260415","屋形原線①那","9311"
"20260415","小倉 - 黒崎・折尾線②幡","9351"
"20260415","那珂川フィーダー線⑤那","9463"
"20260415","諸岡線①竹","9844"
"20260415","福島線①八","6198"
"20260415","屋形原線②那","6262"
"20260415","那珂川フィーダー線③那","5689"
"20260415","長野 - 小倉線①弥","8525"
"20260415","福岡～熊本線③高T","7610"
"20260415","大橋～福翔線①那","8109"
"20260415","佐賀～福岡線①佐","8314"
"20260415","大野城市循環バス線③月","21"
"20260415","大野城市循環バス線①月","26"
"20260415","久留米 - 大牟田線②京","2003"
"20260415","南福岡線⑤宇T","2103"
"20260415","那珂川フィーダー線⑥那","2110"
"20260415","直方～鞍手～遠賀線①直","2113"
"20260415","星ヶ丘線①原","2117"
"20260415","甘木幹線⑤杷T","2131"
"20260415","江見線②佐T","2263"
"20260415","吉野線⑧牟","2266"
"20260415","鳥栖 - 神埼線②鳥","2350"
"20260415","飯塚 - 大隈線①飯","2355"
"20260415","春日原線①月","2403"
"20260415","春日原線③那","2405"
"20260415","竹下～長浜線①も","2412"
"20260415","竹下～長浜線②竹","2414"
"20260415","竹下～長浜線①竹","2419"
"20260415","野間（城南）博多駅線①桧","2421"
"20260415","直方 ・ 黒崎線③直T","2422"
"20260415","飯塚市内線①飯","2426"
"20260415","久留米 - 鳥栖線①鳥","2430"
"20260415","天拝坂線①原T","2431"
"20260415","頓野線①直","2434"
"20260415","昭代（城南）博多駅線①も","2502"
"20260415","昭代（城南）博多駅線②も","2503"
"20260415","上官（大牟田）線①牟","2511"
"20260415","則松循環線①香","2519"
"20260415","鳴水線②幡","2521"
"20260415","小嶺 - 戸畑・若松線②戸","2523"
"20260415","みどりヶ丘線⑤土","2535"
"20260415","甘木幹線②甘","2607"
"20260415","桧原（小笹）博多駅線①も","2662"
"20260415","野間～天神線④柏","2663"
"20260415","アイランドシティ～千早線②ア","2664"
"20260415","赤間（普通）線①高","2665"
"20260415","福重（都市高速）線⑥壱","2679"
"20260415","大橋～福翔線⑩那","2682"
"20260415","春日原線②那","2684"
"20260415","恒見 - 小倉線⑧恒","2688"
"20260415","神埼線②御","2699"
"20260415","飯塚 - 大隈線①小","2710"
"20260415","蒲生線①谷","2716"
"20260415","シーサイドももち線⑱愛","2728"
"20260415","屋形原線⑤那","2738"
"20260415","大谷線・大谷（大蔵）線②戸","2751"
"20260415","則松循環線②香","2753"
"20260415","大谷線・大谷（大蔵）線①戸","2754"
"20260415","門司 - 戸畑線⑥門","2757"
"20260415","黒原 - 戸畑線②戸","2761"
"20260415","小倉（中原）戸畑線②戸","2762"
"20260415","黒原 - 戸畑線①戸","2764"
"20260415","小倉 (井堀) 戸畑線①戸","2765"
"20260415","福岡～熊本線⑥高T","2769"
"20260415","渡辺通幹線①も","2771"
"20260415","渡辺通幹線②那","2779"
"20260415","那珂川フィーダー線⑱那T","2787"
"20260415","脇山線⑥早","2803"
"20260415","上山田線①飯","2804"
"20260415","脇山支線①早","2807"
"20260415","門司 - 戸畑線③門","2832"
"20260415","門司 - 戸畑線④門","2834"
"20260415","門司駅～山田線②谷","2835"
"20260415","門司駅～山田線③谷","2836"
"20260415","大谷線・大谷（大蔵）線⑤戸","2845"
"20260415","小嶺 - 戸畑・若松線⑤香","2854"
"20260415","馬場山～大平線⑪香T","2856"
"20260415","小嶺 - 戸畑・若松線②香","2857"
"20260415","恒見 - 小倉線⑥恒","2861"
"20260415","古賀市内線①舞","2871"
"20260415","油山線⑲片T","2917"
"20260415","板付線②竹","2920"
"20260415","大橋～福翔線⑦那","2929"
"20260415","大橋～福翔線⑧那","2931"
"20260415","那珂川フィーダー線⑦那","2932"
"20260415","那珂川フィーダー線⑨那","2933"
"20260415","碓井線①飯","2961"
"20260415","北野線①御","2962"
"20260415","恒見フィーダー線①恒","2971"
"20260415","大里線②恒","2972"
"20260415","福岡～熊本線④高T","2975"
"20260415","大谷線・大谷（大蔵）線③戸","2977"
"20260415","今町・若園線①谷","2979"
"20260415","昭代（城南）博多駅線②愛T","1030"
"20260415","博多駅～西新線①吉","1031"
"20260415","香椎浜～博多駅線③ア","1038"
"20260415","志賀島線⑦ア","1039"
"20260415","宇美線⑰宇","1040"
"20260415","宇美線①宇","1043"
"20260415","宇美線②宇","1045"
"20260415","志井線④谷","1052"
"20260415","門司 - 戸畑線②戸","1055"
"20260415","門司 - 戸畑線④戸","1071"
"20260415","折尾 - 小嶺線②香","1073"
"20260415","西新（城南）九大線②吉","1093"
"20260415","折尾 - 小嶺線①香","1107"
"20260415","恒見 - 小倉線⑦恒","1111"
"20260415","アイランドシティ～千早線①ア","1132"
"20260415","門司 - 戸畑線③戸","1157"
"20260415","小嶺 - 戸畑・若松線③香","1159"
"20260415","志井線⑤谷","1163"
"20260415","福岡～行橋線①行","1185"
"20260415","小倉～北九州空港線②北","1188"
"20260415","長野 - 小倉線②弥","1189"
"20260415","馬場山～大平線①香","1192"
"20260415","馬場山～大平線⑧香","1194"
"20260415","門司 - 戸畑線⑤戸","1195"
"20260415","小倉（中原）戸畑線④小T","1237"
"20260415","小倉 - 黒崎・折尾線⑤幡","1241"
"20260415","野間快速線⑧桧","1251"
"20260415","渡辺通幹線①那","1255"
"20260415","渡辺通幹線⑧那","1256"
"20260415","西新（城南）九大線①愛","1261"
"20260415","宇美線⑥宇","1265"
"20260415","タワー（天神）貝塚線①も","1266"
"20260415","早良（城南）博多駅②早","1272"
"20260415","門司 - 戸畑線①戸","1276"
"20260415","鞘ヶ谷 - 大谷池線⑤小","1277"
"20260415","香椎浜～博多駅線④ア","1293"
"20260415","香椎浜～博多駅線②ア","1294"
"20260415","大橋～福翔線②那","1297"
"20260415","香椎浜～博多駅線①ア","1301"
"20260415","小倉 - 黒崎線②小","1305"
"20260415","門司港ローカル線②門","1307"
"20260415","恒見 - 小倉線②恒","1308"
"20260415","福岡～鹿児島線②高T","1338"
"20260415","野方（都市高速）博多線③壱","1344"
"20260415","渡辺通幹線③那","1346"
"20260415","大橋～福翔線③那","1347"
"20260415","大橋～福翔線⑤那","1348"
"20260415","小倉 - 黒崎線⑥小T","1352"
"20260415","貫 (都市高速) 小倉線①弥","1354"
"20260415","姪浜フィーダー線⑨壱","1444"
"20260415","荒江線①早","1451"
"20260415","竹下～長浜線③も","1454"
"20260415","新八田線②土","1458"
"20260415","大川線①土","1459"
"20260415","福大線②片","1801"
"20260415","宇美線③宇","1803"
"20260415","脇山線(37)早T","1806"
"20260415","板付団地線②竹","1810"
"20260415","板付団地線③竹","1811"
"20260415","志賀島線②ア","1815"
"20260415","シーサイドももち線⑦愛","1816"
"20260415","みどりヶ丘線①土","1819"
"20260415","みどりヶ丘線②土","1820"
"20260415","みどりヶ丘線③土","1821"
"20260415","多々良・八田線②土","1822"
"20260415","多々良・八田線①土","1823"
"20260415","那珂川フィーダー線⑩那","1915"
"20260415","長住～天神線①桧","1920"
"20260415","志賀島島内線①ア","1924"
"20260415","志賀島線①ア","4502"
"20260415","多々良・八田線⑤土","3636"
"20260415","香椎線②ア","3644"
"20260415","脇山線⑨早","3650"
"20260415","金武（城南）博多駅線①武","3654"
"20260415","野間快速線②桧","3661"
"20260415","片江（長住）博多駅線①片","3662"
"20260415","小倉 - 黒崎・折尾線①香","3666"
"20260415","筑豊（特急）福岡線①田","4702"
"20260415","筑豊（特急）福岡線④田","4721"
"20260415","三軒屋線②武","4832"
"20260415","金武（城南）博多駅線②武","4833"
"20260415","宇美線④宇","4844"
"20260415","福岡～小倉⑨博T","4855"
"20260415","筑豊（特急）福岡線①高","4859"
"20260415","金武線②武","4869"
"20260415","小笹・小笹団地線⑭柏","4870"
"20260415","小笹・小笹団地線③柏","4871"
