"date","unyo","bus_no"
"20260401","大谷線・大谷（大蔵）線①戸","2754"
"20260401","門司駅～山田線③恒T","2861"
"20260401","佐賀～福岡空港線①佐","2904"
"20260401","那珂川フィーダー線②那","2963"
"20260401","小倉～北九州空港線⑥北T","1188"
"20260401","福岡空港-久留米線①京","1331"
"20260401","片江（城南）博多駅線①片","9008"
"20260401","小嶺 - 戸畑・若松線①香","9022"
"20260401","屋形原線③那","9054"
"20260401","諸岡線①竹","9844"
"20260401","小倉 - 黒崎線②幡","5777"
"20260401","那珂川フィーダー線①那","7715"
"20260401","福岡～小倉①北","8218"
"20260401","大野城市循環バス線①月","26"
"20260401","春日原線②那","2108"
"20260401","甘木幹線①杷","2130"
"20260401","飯塚 - 大隈線①飯","2355"
"20260401","竹下～長浜線②も","2413"
"20260401","直方 ・ 黒崎線③直T","2422"
"20260401","則松循環線①香","2519"
"20260401","みどりヶ丘線⑦土","2534"
"20260401","香椎線①舞","2602"
"20260401","西新（城南）九大線⑦も","2662"
"20260401","門司 - 戸畑線①門","2711"
"20260401","屋形原線⑤那","2738"
"20260401","大谷線・大谷（大蔵）線②戸","2751"
"20260401","黒原 - 戸畑線②戸","2761"
"20260401","黒原 - 戸畑線①戸","2764"
"20260401","門司 - 戸畑線④門","2834"
"20260401","門司駅～山田線②谷","2835"
"20260401","上重田線①小","2852"
"20260401","馬場山～大平線⑪香T","2856"
"20260401","福重（都市高速）線①壱","2878"
"20260401","門司駅～山田線①谷","2906"
"20260401","野方（都市高速）博多線①壱","2937"
"20260401","今町・若園線①谷","2979"
"20260401","シーサイドももち線①愛","1028"
"20260401","香椎浜～博多駅線⑩アT","1039"
"20260401","宇美線①宇","1043"
"20260401","小倉 - 黒崎・折尾線①幡","1050"
"20260401","野間～天神線③柏","1098"
"20260401","門司 - 戸畑線③戸","1157"
"20260401","小嶺 - 戸畑・若松線③香","1159"
"20260401","小倉 - 黒崎線①幡","1161"
"20260401","福岡～熊本線⑧高T","1169"
"20260401","長野 - 小倉線①弥","1189"
"20260401","馬場山～大平線①香","1192"
"20260401","馬場山～大平線⑧香","1194"
"20260401","恒見 - 小倉線⑦恒","1196"
"20260401","門司港ローカル線①門","1239"
"20260401","渡辺通幹線⑪那T","1254"
"20260401","渡辺通幹線①那","1255"
"20260401","西新（城南）九大線①愛","1261"
"20260401","タワー（天神）貝塚線①も","1266"
"20260401","門司 - 戸畑線①戸","1276"
"20260401","香椎浜～博多駅線①ア","1293"
"20260401","大橋～福翔線②那","1297"
"20260401","門司 - 戸畑線⑥門","1307"
"20260401","福岡～宮崎線②高T","1336"
"20260401","福岡～鹿児島線①高T","1338"
"20260401","大橋～福翔線③那","1345"
"20260401","大橋～福翔線⑯那","1346"
"20260401","貫 (都市高速) 小倉線①弥","1354"
"20260401","宇美線③宇","1803"
"20260401","大橋～福翔線⑥那","1808"
