"date","unyo","bus_no"
"20260407","門司 - 戸畑線①門","2711"
"20260407","門司 - 戸畑線③門","2832"
"20260407","門司駅～山田線③恒T","2861"
"20260407","門司駅～山田線①谷","2906"
"20260407","那珂川フィーダー線②那","2963"
"20260407","佐賀～福岡空港線①佐","1007"
"20260407","小倉 - 黒崎・折尾線①幡","1050"
"20260407","小倉 - 黒崎線①幡","1161"
"20260407","小倉～北九州空港線⑥北T","1187"
"20260407","小倉～北九州空港線①北","1188"
"20260407","長野 - 小倉線①弥","1189"
"20260407","渡辺通幹線⑪那T","1254"
"20260407","西新（城南）九大線①愛","1261"
"20260407","門司 - 戸畑線①戸","1276"
"20260407","黒崎・戸畑 - 砂津線①小","1277"
"20260407","福岡～宮崎線②高T","1337"
"20260407","筑豊（特急）福岡線①高","4859"
"20260407","野間快速線①柏","4925"
"20260407","福岡・福岡空港～佐世保線②博T","3284"
"20260407","福岡～小倉②北","3331"
"20260407","志井線①谷","9016"
"20260407","諸岡線①竹","9844"
"20260407","小倉 - 黒崎・折尾線①小","5901"
"20260407","黒原 - 戸畑線⑧弥T","5915"
"20260407","那珂川フィーダー線③那","5989"
"20260407","門司 - 戸畑線②門","5769"
"20260407","福岡～熊本線③高T","7610"
"20260407","那珂川フィーダー線①那","7715"
"20260407","脇山線(37)早T","7804"
"20260407","大橋～福翔線①那","8109"
"20260407","佐賀～福岡線①佐","8314"
"20260407","恒見フィーダー線①恒","8750"
"20260407","春日～大橋線①那","2108"
"20260407","飯塚 - 大隈線①飯","2354"
"20260407","春日原線①月","2403"
"20260407","竹下～長浜線①も","2412"
"20260407","直方 ・ 黒崎線③直T","2422"
"20260407","久留米 - 鳥栖線①鳥","2430"
"20260407","上官（大牟田）線①牟","2511"
"20260407","小嶺 - 戸畑・若松線①戸","2524"
"20260407","香椎線①舞","2602"
"20260407","野間～天神線④柏","2663"
"20260407","赤間（普通）線①高","2665"
"20260407","福重（都市高速）線①壱","2678"
"20260407","飯塚 - 大隈線①小","2710"
"20260407","蒲生線①谷","2719"
"20260407","大谷線・大谷（大蔵）線②戸","2751"
"20260407","大谷線・大谷（大蔵）線①戸","2754"
"20260407","黒原 - 戸畑線②戸","2761"
"20260407","黒原 - 戸畑線①戸","2764"
"20260407","渡辺通幹線①那","2780"
"20260407","渡辺通幹線③那","2788"
"20260407","上山田線①飯","2802"
"20260407","門司駅～山田線②谷","2835"
"20260407","小嶺 - 戸畑・若松線②香","2857"
"20260407","那珂川フィーダー線②那","2873"
"20260407","福大病院（外環状）線①片","2917"
"20260407","大橋～福翔線⑦那","2929"
"20260407","西団地 - 萩原線①幡","2940"
"20260407","今町・若園線①谷","2979"
"20260407","昭代（城南）博多駅線②愛T","1030"
"20260407","香椎浜～博多駅線②ア","1038"
"20260407","宇美線①宇","1043"
"20260407","門司 - 戸畑線②戸","1055"
"20260407","大里線①恒","1072"
"20260407","志井線⑭谷","1074"
"20260407","志賀島線①ア","1099"
"20260407","小嶺 - 戸畑・若松線③香","1162"
"20260407","福岡～熊本線④高T","1168"
"20260407","馬場山～大平線①香","1192"
"20260407","馬場山～大平線⑧香","1194"
"20260407","小倉 - 黒崎・折尾線⑤幡","1241"
"20260407","タワー（天神）貝塚線①も","1266"
"20260407","大橋～福翔線②那","1297"
"20260407","恒見 - 小倉線②恒","1308"
"20260407","福岡～鹿児島線①高T","1338"
"20260407","西新（城南）九大線②も","1340"
"20260407","貫 (都市高速) 小倉線①弥","1354"
"20260407","西町線①京","1441"
"20260407","姪浜フィーダー線①壱","1447"
"20260407","板付団地線③竹","1811"
"20260407","みどりヶ丘線①土","1819"
"20260407","みどりヶ丘線②土","1820"
"20260407","みどりヶ丘線③土","1821"
"20260407","志賀島島内線①ア","1925"
"20260407","恒見 - 小倉線①恒","4612"
"20260407","香椎線②ア","3644"
"20260407","野間快速線⑧桧","3660"
"20260407","福岡～小倉①北","4726"
"20260407","小笹～天神線①片","4839"
"20260407","宇美線⑰宇","4845"
"20260407","福岡～小倉①博","4856"
"20260407","小笹・小笹団地線⑭柏","4871"
"20260407","福岡～小倉②博","4906"
"20260407","早良（城南）博多駅①早","4915"
"20260407","福岡～大分線①高","4947"
"20260407","野間～天神線①柏","3058"
"20260407","小笹・小笹団地線⑯柏","3059"
"20260407","小笹・小笹団地線①柏","3223"
"20260407","三軒屋線①武","3423"
"20260407","福岡～小倉③北","3435"
"20260407","小倉（中原）戸畑線②戸","5829"
"20260407","小倉（中原）戸畑線①戸","5832"
"20260407","片江（城南）博多駅線①片","9008"
"20260407","小倉（中原）戸畑線①弥","9014"
"20260407","志井線②谷","9017"
"20260407","小嶺 - 戸畑・若松線①香","9022"
"20260407","春日原線①那","9030"
"20260407","久留米吉井線①吉","9053"
"20260407","屋形原線③那","9054"
